Latitude,Longitude,Name,Crop_Name,Duration,Height,height_numeric,duration_numeric,NDVI_1,NDVI_2,NDVI_3,NDVI_4,NDVI_5,NDVI_6,NDVI_7,NDVI_8,NDVI_9,NDVI_10,NDVI_11,NDVI_12,NDVI_13,NDVI_14,NDVI_15,NDVI_16,NDVI_17,NDVI_18,NDVI_19,NDVI_20,NDVI_21,NDVI_22,NDVI_23,NDVI_24,NDVI_25,NDVI_26,NDVI_27,NDVI_28,NDVI_29,NDVI_30,NDVI_31,NDVI_32,NDVI_33,NDVI_34,NDVI_35,NDVI_36,NDVI_37,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15,Predicted_duration,Correct
12.861778,77.8261364,Bangalore Rural,Beans,Low,Short,1,1,0.198838248,0.17916165,0.1785362,0.237682207,0.231913246,0.340346263,-0.00730514,0.038033313,0.126148705,0.076838505,0.318214804,0.057916496,0.320228913,0.375561333,0.341315159,0.11550152,0.337147528,-0.006789003,0.460565815,0.126602009,0.165896414,0.005319149,0.031303256,0.188893234,-0.017727026,0.180634513,0.22612391,0.073460821,0.090470155,0.402437523,0.041141279,0.086553412,0.241171404,0.371125932,0.38218111,0.190988836,0.02029469,-7.511051015,-12.09483299,-10.06035275,-5.472362693,-10.12753225,-7.707584659,-14.32077596,-8.988230581,-11.54624697,-9.776756509,-9.4729286,-6.890761071,-8.009283012,-9.331335364,-10.10368583,-16.28606291,-23.03226555,-21.79490584,-16.95022441,-18.58085797,-24.57113961,-16.74135384,-15.8276011,-16.99908139,-13.98636464,-16.69565343,-17.68224334,-15.23067413,-15.81013133,-12.93082801,2,False
12.8626625,77.8306259,Bangalore Rural,Coconut,Long,Tall,3,3,0.286193323,0.273484747,0.243973868,0.206119496,0.314299658,0.343741588,0.036084137,0.059321331,0.169164169,0.479271126,0.524484536,0.541739895,0.541036717,0.613633149,0.405544148,0.10795226,0.391651865,-0.008777853,0.336193448,0.241618497,0.17203252,0.011773789,0.027796922,0.298484848,0.048392182,0.209920494,0.138996421,0.080300825,0.090576618,0.589068826,0.063706763,0.105917454,0.178972851,0.514112673,0.493573265,0.59882907,0.018526436,-8.042571199,-5.364614959,-10.80771975,-7.525553384,-9.070049715,-9.842684997,-9.360428484,-9.872401883,-7.566356593,-7.725575287,-10.93481967,-8.384501325,-7.351620587,-6.493318424,-8.828490208,-16.10265765,-20.30276931,-15.53612486,-12.28859442,-13.66543194,-12.26927779,-18.37549915,-11.75192064,-12.04089387,-16.27876106,-10.91041062,-14.16090787,-11.28368919,-16.31264908,-12.88820771,3,True
12.8627004,77.8301062,Bangalore Rural,Eucalyptus,Long,Tall,3,3,0.383361439,0.346685993,0.288958849,0.196670538,0.295454545,0.428089888,0.01570968,0.0432,0.172670387,0.529411765,0.495372625,0.459268837,0.502606562,0.565482543,0.3344,0.108826754,0.352927345,-0.007424406,0.344457191,0.148253499,0.176220111,0.006198347,0.027064283,0.265260407,0.009163896,0.178632738,0.199895297,0.076599579,0.130460362,0.541041483,0.063345196,0.136755435,0.206005321,0.480261565,0.47486631,0.528862196,0.01928296,-10.49900011,-10.723671,-8.490971076,-5.955729919,-9.482768484,-8.277846163,-10.26158131,-9.954787136,-8.798872627,-10.53701576,-10.03082862,-9.760994122,-5.800317327,-7.441179315,-9.4265341,-18.491014,-16.42448211,-16.51203174,-12.39087692,-20.79966715,-10.39479664,-18.22255415,-15.86863791,-16.85814183,-12.16117728,-16.74778058,-14.64014101,-16.94077082,-11.95099807,-14.65728567,1,False
12.8628099,77.8284398,Bangalore Rural,Paddy,Medium,Short,1,2,0.258237056,0.26844584,0.234083851,0.196558317,0.316850696,0.354224698,-0.029801211,0.040514174,0.160927378,0.336104513,0.345838218,0.117152859,0.336932569,0.29000947,0.31786372,0.251206302,0.302596054,-0.006903948,0.416742909,0.218518519,0.169230769,0.002257336,0.029294032,0.264467484,0.027163794,0.172294038,0.195373969,0.076797003,0.079293158,0.318362633,0.064660509,0.121209896,0.168416248,0.26236828,0.361295994,0.276344298,0.018590514,-12.0160423,-10.22300039,-11.51337704,-7.707041865,-13.09481797,-7.322381173,-10.50940667,-12.02834836,-10.35475785,-12.4334362,-8.59859658,-12.43065426,-7.379934821,-9.499535945,-10.16267454,-21.05177971,-21.87547662,-14.36538705,-12.16529916,-19.47216726,-19.3699677,-20.03143399,-18.36401096,-9.919419717,-16.68348373,-17.75971124,-17.48336618,-16.80536003,-14.31794291,-14.21389852,1,False
12.8629512,77.8275823,Bangalore Rural,Guava,Long,Medium,2,3,0.293370945,0.302654061,0.246731687,0.316679283,0.338673502,0.425586137,-0.001566282,0.028914348,0.156265941,0.376746507,0.333487619,0.041918813,0.320631464,0.366795367,0.375905201,0.227484663,0.372006152,-0.004270083,0.533952823,0.2619491,0.169133858,0.000957854,0.026739894,0.23971519,0.040810976,0.181875659,0.229988975,0.07092116,0.078525821,0.323468482,0.036242604,0.123105694,0.207341053,0.299031911,0.305019305,0.084319884,0.02035068,-10.39391683,-8.175379875,-12.30452138,-10.66033726,-13.52192118,-11.38346138,-10.8655497,-9.445454217,-13.55590306,-8.651001921,-11.57474585,-9.536015445,-7.119281732,-10.24674498,-9.16551196,-27.42740917,-15.34811631,-13.64565755,-14.88526494,-17.22422239,-13.93922149,-15.75731345,-14.57685659,-14.42712139,-14.47967015,-17.89895151,-18.7584424,-15.07689502,-16.39891963,-14.2630994,1,False
12.862968,77.8283026,Bangalore Rural,Coconut,Long,Tall,3,3,0.301871249,0.286695279,0.257074532,0.307280176,0.33732834,0.412184674,-0.008554853,0.02986913,0.158198811,0.365197117,0.390166702,0.108073989,0.416421569,0.376385174,0.386750664,0.275318506,0.344389403,-0.007260992,0.507503902,0.244143033,0.171232877,0.006024096,0.025309541,0.281323877,0.012148823,0.146489454,0.236927792,0.077694236,0.07096347,0.35950645,0.059414776,0.139434377,0.182448037,0.271793055,0.380417335,0.23151646,0.019618913,-11.62946527,-9.182902574,-11.21497818,-10.29234369,-10.05381269,-9.06463129,-10.54625548,-13.23172661,-11.53802781,-12.28814777,-8.631307731,-12.46029861,-10.90137341,-10.54579132,-8.754375592,-18.50799841,-20.99556233,-16.00798003,-18.0120083,-13.86717442,-18.47407981,-15.99924506,-20.67665696,-15.32973761,-13.72568912,-15.20451273,-18.33596646,-16.06673271,-18.35744577,-15.96593857,1,False
12.8630128,77.8263795,Bangalore Rural,Cauliflower,Medium,Short,1,2,0.181260844,0.305752469,0.193163097,0.201277955,0.164828431,0.322211226,-0.037269517,0.036968577,0.140444598,0.346024878,0.417573222,0.047666254,0.635712153,0.621396671,0.387030315,0.201602136,0.219327544,-0.007816153,0.2225396,0.119121181,0.125937749,0.003812199,0.025622584,0.215421853,0.033089093,0.288003465,0.279970849,0.071618651,0.076637681,0.5537552,0.057820608,0.083916509,0.263879957,0.331830139,0.407425382,0.175770597,0.0215948,-8.078630025,-9.485272826,-7.918533816,-6.797836657,-8.774073503,-6.635811693,-6.471426243,-10.95219042,-7.990203604,-7.963934793,-5.549974603,-3.900295429,-3.511979491,-8.798546757,-7.235548815,-16.6890361,-15.51903765,-16.78278801,-9.835569541,-12.81701764,-18.75327616,-13.67109043,-15.16969121,-19.06074445,-21.08701203,-17.70022064,-12.91834577,-14.90901687,-12.68803185,-13.60067114,1,False
12.8630656,77.8299433,Bangalore Rural,Coconut,Long,Tall,3,3,0.360886008,0.303608247,0.265260821,0.157647059,0.281481481,0.419283134,0.013514413,0.042988971,0.169773635,0.545278388,0.527885272,0.498586239,0.553220901,0.584326109,0.372693727,0.172013054,0.39574853,-0.005930718,0.396941633,0.200317209,0.177213141,0.001408318,0.027563396,0.268656716,0.036797837,0.169092104,0.132605304,0.080192077,0.122779704,0.481051176,0.05479727,0.129872649,0.196896934,0.452061034,0.47133758,0.478877582,0.021285653,-14.33588524,-9.418284149,-9.147468458,-6.095708463,-6.914117308,-7.154087127,-11.05345343,-7.507532043,-7.999005916,-14.96002697,-10.31891575,-8.269641541,-7.294475285,-10.61949629,-7.044339696,-17.51421054,-13.21504626,-15.77196921,-13.58563013,-15.79617724,-15.38727559,-16.48140584,-14.48169479,-14.72587192,-13.58594968,-14.07032171,-15.08740303,-10.17220274,-14.27423827,-14.15613523,3,True
12.8631557,77.8281598,Bangalore Rural,Coconut,Long,Tall,3,3,0.230033278,0.233305509,0.208875287,0.197853309,0.23694312,0.306812986,0.034124025,0.038232795,0.143196471,0.288349709,0.250602857,0.129574443,0.240576027,0.277934849,0.247911353,0.244586667,0.288374017,-0.005251111,0.411658789,0.226765799,0.179578032,0.006415094,0.029902138,0.238958991,0.011792668,0.160956938,0.171501631,0.073748388,0.066055246,0.285223368,0.053345725,0.14336231,0.171559633,0.261766261,0.315195072,0.176022835,0.017605883,-17.06226314,-11.76787901,-12.16225756,-4.935595935,-10.61253861,-10.44871101,-12.04442331,-12.43495283,-8.690448684,-10.42340271,-10.05723362,-11.93886141,-9.608552616,-12.71357996,-10.15794763,-22.07646822,-13.5885816,-12.63022561,-16.51598342,-15.95839246,-16.98902069,-14.45440043,-22.96505651,-14.56429156,-14.85085408,-15.63695083,-14.06656935,-15.6110297,-23.73302252,-14.4088619,1,False
12.8632965,77.8274192,Bangalore Rural,Cucumber,Medium,Medium,2,2,0.211792278,0.250653717,0.209997768,0.29725229,0.371805007,0.326126126,0.012725975,0.026512576,0.145090628,0.398646956,0.349265512,0.053991265,0.350118483,0.378308879,0.328207593,0.306603774,0.232169954,-0.001922694,0.206064783,0.1249165,0.131654447,0.008040298,0.025008996,0.227926078,0.034385437,0.162537647,0.203154181,0.071910635,0.066289322,0.308947368,0.05466593,0.081938436,0.217078652,0.325305601,0.411764706,0.065608219,0.015895344,-11.50058072,-12.19257071,-9.762953941,-8.629905493,-11.01453763,-12.03222357,-8.689802987,-9.990252842,-7.369045066,-7.686697143,-9.823982482,-12.33005016,-8.065031096,-8.046692901,-9.015937697,-14.88113369,-16.34925821,-20.24394893,-14.49018358,-17.87617395,-17.18504109,-15.86517799,-17.98558386,-17.75784704,-14.74334266,-15.44024556,-16.7178147,-16.02486018,-14.00764973,-16.89919069,1,False
